Real distance: 0.2173, model distance: 0.2585, diff: 0.0412
Real distance: 0.0679, model distance: 0.1055, diff: 0.0375
Real distance: 0.3439, model distance: 0.3615, diff: 0.0176
Real distance: 0.4562, model distance: 0.4469, diff: 0.0093
Real distance: 0.1804, model distance: 0.1818, diff: 0.0014
Real distance: 0.1640, model distance: 0.2198, diff: 0.0559
Real distance: 0.0026, model distance: 0.0221, diff: 0.0195
Real distance: 0.0505, model distance: 0.0996, diff: 0.0492
Real distance: 0.0097, model distance: 0.0092, diff: 0.0005
Real distance: 0.3047, model distance: 0.2927, diff: 0.0120
Real distance: 0.6606, model distance: 0.6943, diff: 0.0337
Real distance: 0.2056, model distance: 0.2630, diff: 0.0574
Real distance: 0.1687, model distance: 0.1812, diff: 0.0124
Real distance: 0.3117, model distance: 0.3255, diff: 0.0138
Real distance: 0.0156, model distance: 0.0415, diff: 0.0259
Real distance: 0.1691, model distance: 0.2305, diff: 0.0614
Real distance: 0.1498, model distance: 0.1596, diff: 0.0099
Real distance: 0.1743, model distance: 0.1896, diff: 0.0153
Real distance: 0.0055, model distance: 0.0337, diff: 0.0283
Real distance: 0.5119, model distance: 0.4917, diff: 0.0202
Real distance: 0.0580, model distance: 0.0844, diff: 0.0263
Real distance: 0.1094, model distance: 0.1715, diff: 0.0622
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0061, model distance: 0.0148, diff: 0.0087
Real distance: 0.1433, model distance: 0.1750, diff: 0.0317
Real distance: 0.2330, model distance: 0.2252, diff: 0.0078
Real distance: 0.2141, model distance: 0.2370, diff: 0.0229
Real distance: 0.0544, model distance: 0.0924, diff: 0.0381
Real distance: 0.0233, model distance: 0.0433, diff: 0.0200
Real distance: 0.1467, model distance: 0.2000, diff: 0.0533
Real distance: 0.6105, model distance: 0.5898, diff: 0.0207
Real distance: 0.0063, model distance: 0.0010, diff: 0.0054
Real distance: 0.0196, model distance: 0.0694, diff: 0.0498
Real distance: 0.0209, model distance: 0.0529, diff: 0.0320
Real distance: 0.3078, model distance: 0.3067, diff: 0.0011
Real distance: 0.0705, model distance: 0.1349, diff: 0.0644
Real distance: 0.3453, model distance: 0.3388, diff: 0.0065
Real distance: 0.0344, model distance: 0.0835, diff: 0.0491
Real distance: 0.2262, model distance: 0.2652, diff: 0.0389
Real distance: 0.5579, model distance: 0.5333, diff: 0.0247
Real distance: 0.0408, model distance: 0.0769, diff: 0.0361
Real distance: 0.0089, model distance: 0.0235, diff: 0.0146
Real distance: 0.1503, model distance: 0.1745, diff: 0.0242
Real distance: 0.3551, model distance: 0.3600, diff: 0.0049
Real distance: 0.0191, model distance: 0.0540, diff: 0.0349
Real distance: 0.0113, model distance: 0.0353, diff: 0.0239
Real distance: 0.0270, model distance: 0.0560, diff: 0.0290
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0128, model distance: 0.0304, diff: 0.0176
Real distance: 0.0534, model distance: 0.0849, diff: 0.0316
Real distance: 0.2949, model distance: 0.3160, diff: 0.0211
Real distance: 0.0372, model distance: 0.0846, diff: 0.0474
Real distance: 0.2417, model distance: 0.2612, diff: 0.0195
Real distance: 0.4039, model distance: 0.3759, diff: 0.0280
Real distance: 0.0811, model distance: 0.1217, diff: 0.0406
Real distance: 0.0418, model distance: 0.0920, diff: 0.0502
Real distance: 0.1750, model distance: 0.2088, diff: 0.0338
Real distance: 0.0784, model distance: 0.1249, diff: 0.0465
Real distance: 0.2246, model distance: 0.2291, diff: 0.0045
Real distance: 0.1104, model distance: 0.1327, diff: 0.0223
Real distance: 0.0166, model distance: 0.0433, diff: 0.0267
Real distance: 0.5059, model distance: 0.4721, diff: 0.0338
Real distance: 0.2508, model distance: 0.2739, diff: 0.0230
Real distance: 0.0060, model distance: 0.0186, diff: 0.0126
Real distance: 0.3115, model distance: 0.3309, diff: 0.0194
Real distance: 0.0087, model distance: 0.0053, diff: 0.0033
Real distance: 0.0033, model distance: 0.0055, diff: 0.0022
Real distance: 0.0263, model distance: 0.0783, diff: 0.0520
Real distance: 0.4067, model distance: 0.3584, diff: 0.0483
Real distance: 0.1311, model distance: 0.1672, diff: 0.0362
Real distance: 0.0082, model distance: 0.0172, diff: 0.0090
Real distance: 0.3345, model distance: 0.3059, diff: 0.0285
Real distance: 0.2141, model distance: 0.2123, diff: 0.0018
Real distance: 0.0784, model distance: 0.1460, diff: 0.0676
Real distance: 0.3582, model distance: 0.3256, diff: 0.0326
Real distance: 0.0078, model distance: 0.0063, diff: 0.0016
Real distance: 0.1429, model distance: 0.1631, diff: 0.0203
Real distance: 0.4637, model distance: 0.4110, diff: 0.0526
Real distance: 0.5142, model distance: 0.4901, diff: 0.0240
Real distance: 0.3853, model distance: 0.3476, diff: 0.0377
Real distance: 0.6225, model distance: 0.6211, diff: 0.0014
Real distance: 0.0638, model distance: 0.1122, diff: 0.0483
Real distance: 0.2029, model distance: 0.2132, diff: 0.0103
Real distance: 0.3768, model distance: 0.3446, diff: 0.0322
Real distance: 0.2543, model distance: 0.2437, diff: 0.0107
Real distance: 0.1853, model distance: 0.1934, diff: 0.0081
Real distance: 0.3861, model distance: 0.3419, diff: 0.0442
Real distance: 0.0194, model distance: 0.0481, diff: 0.0287
Real distance: 0.1808, model distance: 0.2115, diff: 0.0307
Real distance: 0.6418, model distance: 0.6584, diff: 0.0166
Real distance: 0.4419, model distance: 0.4047, diff: 0.0372
Real distance: 0.2303, model distance: 0.2230, diff: 0.0073
Real distance: 0.1112, model distance: 0.1327, diff: 0.0215
Real distance: 0.2753, model distance: 0.2623, diff: 0.0130
Real distance: 0.5934, model distance: 0.5738, diff: 0.0197
Real distance: 0.3217, model distance: 0.3478, diff: 0.0261
Real distance: 0.1638, model distance: 0.1749, diff: 0.0111
Real distance: 0.4913, model distance: 0.4594, diff: 0.0319
Real distance: 0.0089, model distance: 0.0255, diff: 0.0166
Real distance: 0.0552, model distance: 0.0991, diff: 0.0440
Real distance: 0.1498, model distance: 0.2064, diff: 0.0566
Real distance: 0.0167, model distance: 0.0362, diff: 0.0195
Real distance: 0.6545, model distance: 0.6960, diff: 0.0415
Real distance: 0.0177, model distance: 0.0438, diff: 0.0262
Real distance: 0.0586, model distance: 0.1313, diff: 0.0728
Real distance: 0.1399, model distance: 0.1781, diff: 0.0381
Real distance: 0.1370, model distance: 0.1529, diff: 0.0159
Real distance: 0.3274, model distance: 0.3054, diff: 0.0220
Real distance: 0.0106, model distance: 0.0194, diff: 0.0088
Real distance: 0.4168, model distance: 0.3640, diff: 0.0528
Real distance: 0.0306, model distance: 0.0626, diff: 0.0320
Real distance: 0.2816, model distance: 0.2586, diff: 0.0230
Real distance: 0.2774, model distance: 0.2923, diff: 0.0148
Real distance: 0.0083, model distance: 0.0128, diff: 0.0045
Real distance: 0.0448, model distance: 0.0873, diff: 0.0425
Real distance: 0.2102, model distance: 0.2118, diff: 0.0016
Real distance: 0.3962, model distance: 0.3644, diff: 0.0318
Real distance: 0.2368, model distance: 0.2438, diff: 0.0071
Real distance: 0.0348, model distance: 0.1001, diff: 0.0653
Real distance: 0.0241, model distance: 0.0696, diff: 0.0456
Real distance: 0.0299, model distance: 0.0595, diff: 0.0295
Real distance: 0.0576, model distance: 0.0938, diff: 0.0362
Real distance: 0.4064, model distance: 0.3717, diff: 0.0348
Real distance: 0.0185, model distance: 0.0382, diff: 0.0197
Real distance: 0.2342, model distance: 0.2670, diff: 0.0328
Real distance: 0.2702, model distance: 0.2570, diff: 0.0131
Real distance: 0.1309, model distance: 0.1558, diff: 0.0249
Real distance: 0.0882, model distance: 0.1447, diff: 0.0565
Real distance: 0.3514, model distance: 0.3348, diff: 0.0165
Real distance: 0.0528, model distance: 0.0872, diff: 0.0344
Real distance: 0.2090, model distance: 0.2498, diff: 0.0408
Real distance: 0.3924, model distance: 0.3532, diff: 0.0391
Real distance: 0.6168, model distance: 0.6107, diff: 0.0061
Real distance: 0.5321, model distance: 0.5024, diff: 0.0297
Real distance: 0.0567, model distance: 0.0938, diff: 0.0371
Real distance: 0.0035, model distance: 0.0090, diff: 0.0055
Real distance: 0.0086, model distance: 0.0297, diff: 0.0211
Real distance: 0.5917, model distance: 0.5811, diff: 0.0106
Real distance: 0.3864, model distance: 0.3841, diff: 0.0023
Real distance: 0.5507, model distance: 0.5170, diff: 0.0337
Real distance: 0.1519, model distance: 0.2109, diff: 0.0590
Real distance: 0.0181, model distance: 0.0680, diff: 0.0500
Real distance: 0.1445, model distance: 0.1734, diff: 0.0290
Real distance: 0.1429, model distance: 0.1891, diff: 0.0462
Real distance: 0.2388, model distance: 0.2408, diff: 0.0020
Real distance: 0.0142, model distance: 0.0586, diff: 0.0444
Real distance: 0.5805, model distance: 0.5649, diff: 0.0156
Real distance: 0.0062, model distance: 0.0112, diff: 0.0050
Real distance: 0.0152, model distance: 0.0345, diff: 0.0192
Real distance: 0.6252, model distance: 0.6138, diff: 0.0114
Real distance: 0.0602, model distance: 0.1288, diff: 0.0685
Real distance: 0.0735, model distance: 0.1079, diff: 0.0344
Real distance: 0.0968, model distance: 0.1394, diff: 0.0426
Real distance: 0.0135, model distance: 0.0258, diff: 0.0123
Real distance: 0.0392, model distance: 0.0720, diff: 0.0328
Real distance: 0.0787, model distance: 0.1044, diff: 0.0257
Real distance: 0.1162, model distance: 0.1753, diff: 0.0591
Real distance: 0.2523, model distance: 0.2582, diff: 0.0060
Real distance: 0.1361, model distance: 0.1667, diff: 0.0306
Real distance: 0.1392, model distance: 0.1835, diff: 0.0443
Real distance: 0.3059, model distance: 0.3162, diff: 0.0103
Real distance: 0.0593, model distance: 0.0901, diff: 0.0308
Real distance: 0.0523, model distance: 0.1180, diff: 0.0657
Real distance: 0.0111, model distance: 0.0255, diff: 0.0144
Real distance: 0.2288, model distance: 0.2327, diff: 0.0039
Real distance: 0.2302, model distance: 0.2316, diff: 0.0015
Real distance: 0.1811, model distance: 0.2176, diff: 0.0365
Real distance: 0.3506, model distance: 0.3366, diff: 0.0140
Real distance: 0.4153, model distance: 0.4078, diff: 0.0075
Real distance: 0.6018, model distance: 0.5894, diff: 0.0124
Real distance: 0.1304, model distance: 0.1538, diff: 0.0234
Real distance: 0.0708, model distance: 0.1230, diff: 0.0521
Real distance: 0.1105, model distance: 0.1393, diff: 0.0288
Real distance: 0.1556, model distance: 0.2076, diff: 0.0519
Real distance: 0.1268, model distance: 0.1424, diff: 0.0155
Real distance: 0.3748, model distance: 0.3418, diff: 0.0330
Real distance: 0.1638, model distance: 0.1667, diff: 0.0029
Real distance: 0.0207, model distance: 0.0455, diff: 0.0248
Real distance: 0.0972, model distance: 0.1213, diff: 0.0241
Real distance: 0.3211, model distance: 0.3015, diff: 0.0196
Real distance: 0.1542, model distance: 0.1731, diff: 0.0188
Real distance: 0.5855, model distance: 0.5559, diff: 0.0296
Real distance: 0.2067, model distance: 0.2058, diff: 0.0009
Real distance: 0.0351, model distance: 0.0698, diff: 0.0347
Real distance: 0.1350, model distance: 0.1815, diff: 0.0464
Real distance: 0.3928, model distance: 0.3856, diff: 0.0073
Real distance: 0.0036, model distance: 0.0114, diff: 0.0079
Real distance: 0.2893, model distance: 0.3200, diff: 0.0308
Real distance: 0.1105, model distance: 0.1312, diff: 0.0207
Real distance: 0.4597, model distance: 0.4335, diff: 0.0262
Real distance: 0.0793, model distance: 0.1221, diff: 0.0427
Real distance: 0.6845, model distance: 0.7704, diff: 0.0858
Real distance: 0.1417, model distance: 0.1556, diff: 0.0139
Real distance: 0.4162, model distance: 0.4013, diff: 0.0148
Real distance: 0.0468, model distance: 0.0839, diff: 0.0371
Real distance: 0.0409, model distance: 0.0930, diff: 0.0521
Real distance: 0.0096, model distance: 0.0219, diff: 0.0123
Real distance: 0.6208, model distance: 0.6056, diff: 0.0151
Real distance: 0.0503, model distance: 0.0908, diff: 0.0405
Real distance: 0.1957, model distance: 0.2232, diff: 0.0275
Real distance: 0.5737, model distance: 0.5566, diff: 0.0170
Real distance: 0.3711, model distance: 0.3732, diff: 0.0021
Real distance: 0.1105, model distance: 0.1807, diff: 0.0703
Real distance: 0.2163, model distance: 0.2248, diff: 0.0084
Real distance: 0.3016, model distance: 0.2783, diff: 0.0233
Real distance: 0.4440, model distance: 0.4342, diff: 0.0099
Real distance: 0.3826, model distance: 0.3691, diff: 0.0135
Real distance: 0.0206, model distance: 0.0478, diff: 0.0272
Real distance: 0.0327, model distance: 0.0675, diff: 0.0348
Real distance: 0.0575, model distance: 0.0916, diff: 0.0341
Real distance: 0.0193, model distance: 0.0424, diff: 0.0231
Real distance: 0.0324, model distance: 0.0675, diff: 0.0352
Real distance: 0.1378, model distance: 0.1762, diff: 0.0385
Real distance: 0.3983, model distance: 0.3943, diff: 0.0040
Real distance: 0.0075, model distance: 0.0227, diff: 0.0152
Real distance: 0.5081, model distance: 0.4533, diff: 0.0548
Real distance: 0.0148, model distance: 0.0324, diff: 0.0176
Real distance: 0.0142, model distance: 0.0453, diff: 0.0311
Real distance: 0.5368, model distance: 0.5164, diff: 0.0204
Real distance: 0.2406, model distance: 0.2660, diff: 0.0254
Real distance: 0.1191, model distance: 0.1512, diff: 0.0321
Real distance: 0.0085, model distance: 0.0135, diff: 0.0050
Real distance: 0.0096, model distance: 0.0184, diff: 0.0088
Real distance: 0.4600, model distance: 0.4398, diff: 0.0202
Real distance: 0.4690, model distance: 0.4511, diff: 0.0180
Real distance: 0.3129, model distance: 0.2803, diff: 0.0326
Real distance: 0.5844, model distance: 0.5652, diff: 0.0192
Real distance: 0.0609, model distance: 0.1161, diff: 0.0553
Real distance: 0.3818, model distance: 0.3340, diff: 0.0478
Real distance: 0.0449, model distance: 0.0868, diff: 0.0419
Real distance: 0.0211, model distance: 0.0456, diff: 0.0245
Real distance: 0.0187, model distance: 0.0416, diff: 0.0229
Real distance: 0.0283, model distance: 0.0531, diff: 0.0248
Real distance: 0.1359, model distance: 0.1556, diff: 0.0197
Real distance: 0.1380, model distance: 0.1652, diff: 0.0272
Real distance: 0.0083, model distance: 0.0188, diff: 0.0106
Real distance: 0.2666, model distance: 0.2572, diff: 0.0093
Real distance: 0.4449, model distance: 0.4122, diff: 0.0327
Real distance: 0.0117, model distance: 0.0308, diff: 0.0191
Real distance: 0.3545, model distance: 0.3295, diff: 0.0250
Real distance: 0.3596, model distance: 0.3219, diff: 0.0376
Real distance: 0.0126, model distance: 0.0490, diff: 0.0364
Real distance: 0.2055, model distance: 0.2065, diff: 0.0010
Real distance: 0.0107, model distance: 0.0461, diff: 0.0354
Real distance: 0.2141, model distance: 0.2149, diff: 0.0008
Real distance: 0.0209, model distance: 0.0533, diff: 0.0324
Real distance: 0.0037, model distance: 0.0122, diff: 0.0084
Real distance: 0.0925, model distance: 0.1251, diff: 0.0326
Real distance: 0.5358, model distance: 0.5019, diff: 0.0339
Real distance: 0.3727, model distance: 0.3377, diff: 0.0350
Real distance: 0.1783, model distance: 0.1857, diff: 0.0074
Real distance: 0.4456, model distance: 0.4003, diff: 0.0453
Real distance: 0.4197, model distance: 0.3967, diff: 0.0230
Real distance: 0.0140, model distance: 0.0374, diff: 0.0234
Real distance: 0.1554, model distance: 0.2096, diff: 0.0542
Real distance: 0.1076, model distance: 0.1400, diff: 0.0324
Real distance: 0.6318, model distance: 0.6400, diff: 0.0083
Real distance: 0.0928, model distance: 0.1242, diff: 0.0314
Real distance: 0.0489, model distance: 0.0826, diff: 0.0337
Real distance: 0.0319, model distance: 0.0734, diff: 0.0415
Real distance: 0.4384, model distance: 0.4285, diff: 0.0099
Real distance: 0.0465, model distance: 0.0768, diff: 0.0303
Real distance: 0.1447, model distance: 0.1915, diff: 0.0468
Real distance: 0.4252, model distance: 0.4018, diff: 0.0234
Real distance: 0.0200, model distance: 0.0563, diff: 0.0363
Real distance: 0.1267, model distance: 0.1726, diff: 0.0459
Real distance: 0.3542, model distance: 0.3054, diff: 0.0488
Real distance: 0.1728, model distance: 0.2285, diff: 0.0557
Real distance: 0.3691, model distance: 0.3764, diff: 0.0074
Real distance: 0.2489, model distance: 0.2878, diff: 0.0389
Real distance: 0.0103, model distance: 0.0234, diff: 0.0130
Real distance: 0.6456, model distance: 0.6670, diff: 0.0213
Real distance: 0.1505, model distance: 0.1710, diff: 0.0204
Real distance: 0.0882, model distance: 0.1140, diff: 0.0258
Real distance: 0.2979, model distance: 0.2990, diff: 0.0010
Real distance: 0.0051, model distance: 0.0017, diff: 0.0034
Real distance: 0.3225, model distance: 0.3041, diff: 0.0183
Real distance: 0.5780, model distance: 0.5475, diff: 0.0305
Real distance: 0.0743, model distance: 0.1163, diff: 0.0420
Real distance: 0.6408, model distance: 0.6561, diff: 0.0154
Real distance: 0.3618, model distance: 0.3469, diff: 0.0149
Real distance: 0.1838, model distance: 0.2166, diff: 0.0328
Real distance: 0.0338, model distance: 0.0656, diff: 0.0319
Real distance: 0.2409, model distance: 0.2560, diff: 0.0151
Real distance: 0.6800, model distance: 0.7404, diff: 0.0604
Real distance: 0.3442, model distance: 0.3344, diff: 0.0098
Real distance: 0.0251, model distance: 0.0595, diff: 0.0344
Real distance: 0.1916, model distance: 0.2056, diff: 0.0139
Real distance: 0.0912, model distance: 0.1686, diff: 0.0774
Real distance: 0.3419, model distance: 0.3284, diff: 0.0135
Real distance: 0.0266, model distance: 0.0584, diff: 0.0317
Real distance: 0.2734, model distance: 0.2571, diff: 0.0163
Real distance: 0.0907, model distance: 0.1208, diff: 0.0301
Real distance: 0.2198, model distance: 0.2569, diff: 0.0371
Real distance: 0.0055, model distance: 0.0302, diff: 0.0247
Real distance: 0.2882, model distance: 0.2784, diff: 0.0098
Real distance: 0.2084, model distance: 0.2416, diff: 0.0333
Real distance: 0.4117, model distance: 0.3721, diff: 0.0395
Real distance: 0.1100, model distance: 0.1651, diff: 0.0551
