Real distance: 0.0078, model distance: 0.0435, diff: 0.0357
Real distance: 0.0097, model distance: 0.0286, diff: 0.0188
Real distance: 0.0087, model distance: 0.0305, diff: 0.0219
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0101, model distance: 0.0435, diff: 0.0334
Real distance: 0.0088, model distance: 0.0348, diff: 0.0260
Real distance: 0.0102, model distance: 0.0340, diff: 0.0239
Real distance: 0.0094, model distance: 0.0280, diff: 0.0186
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0097, model distance: 0.0315, diff: 0.0217
Real distance: 0.0115, model distance: 0.0351, diff: 0.0236
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0093, model distance: 0.0431, diff: 0.0338
Real distance: 0.0082, model distance: 0.0442, diff: 0.0361
Real distance: 0.0099, model distance: 0.0376, diff: 0.0277
Real distance: 0.0088, model distance: 0.0220, diff: 0.0133
Real distance: 0.0092, model distance: 0.0591, diff: 0.0499
Real distance: 0.0088, model distance: 0.0276, diff: 0.0188
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0086, model distance: 0.0296, diff: 0.0211
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0094, model distance: 0.0328, diff: 0.0234
Real distance: 0.0090, model distance: 0.0306, diff: 0.0216
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0080, model distance: 0.0475, diff: 0.0395
Real distance: 0.0093, model distance: 0.0429, diff: 0.0336
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0094, model distance: 0.0237, diff: 0.0143
Real distance: 0.0088, model distance: 0.0301, diff: 0.0214
Real distance: 0.0080, model distance: 0.0302, diff: 0.0222
Real distance: 0.0095, model distance: 0.0273, diff: 0.0178
Real distance: 0.0103, model distance: 0.0339, diff: 0.0237
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0099, model distance: 0.0393, diff: 0.0293
Real distance: 0.0089, model distance: 0.0388, diff: 0.0298
Real distance: 0.0100, model distance: 0.0338, diff: 0.0238
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0076, model distance: 0.0275, diff: 0.0199
Real distance: 0.0088, model distance: 0.0350, diff: 0.0262
Real distance: 0.0084, model distance: 0.0351, diff: 0.0267
Real distance: 0.0081, model distance: 0.0321, diff: 0.0240
Real distance: 0.0097, model distance: 0.0437, diff: 0.0340
Real distance: 0.0082, model distance: 0.0319, diff: 0.0237
Real distance: 0.0086, model distance: 0.0372, diff: 0.0286
Real distance: 0.0089, model distance: 0.0356, diff: 0.0267
Real distance: 0.0095, model distance: 0.0274, diff: 0.0179
Real distance: 0.0089, model distance: 0.0404, diff: 0.0315
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0083, model distance: 0.0266, diff: 0.0182
Real distance: 0.0101, model distance: 0.0341, diff: 0.0240
Real distance: 0.0086, model distance: 0.0440, diff: 0.0354
Real distance: 0.0082, model distance: 0.0285, diff: 0.0203
Real distance: 0.0081, model distance: 0.0319, diff: 0.0238
Real distance: 0.0103, model distance: 0.0588, diff: 0.0485
Real distance: 0.0087, model distance: 0.0321, diff: 0.0234
Real distance: 0.0091, model distance: 0.0361, diff: 0.0270
Real distance: 0.0094, model distance: 0.0289, diff: 0.0196
Real distance: 0.0096, model distance: 0.0395, diff: 0.0299
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0088, model distance: 0.0479, diff: 0.0392
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0099, model distance: 0.0367, diff: 0.0268
Real distance: 0.0085, model distance: 0.0290, diff: 0.0205
Real distance: 0.0082, model distance: 0.0397, diff: 0.0315
Real distance: 0.0086, model distance: 0.0343, diff: 0.0257
Real distance: 0.0083, model distance: 0.0269, diff: 0.0187
Real distance: 0.0107, model distance: 0.0474, diff: 0.0367
Real distance: 0.0097, model distance: 0.0351, diff: 0.0255
Real distance: 0.0082, model distance: 0.0371, diff: 0.0289
Real distance: 0.0083, model distance: 0.0326, diff: 0.0243
Real distance: 0.0085, model distance: 0.0459, diff: 0.0374
Real distance: 0.0089, model distance: 0.0285, diff: 0.0196
Real distance: 0.0084, model distance: 0.0312, diff: 0.0228
Real distance: 0.0085, model distance: 0.0267, diff: 0.0181
Real distance: 0.0093, model distance: 0.0389, diff: 0.0296
Real distance: 0.0083, model distance: 0.0320, diff: 0.0237
Real distance: 0.0084, model distance: 0.0389, diff: 0.0305
Real distance: 0.0080, model distance: 0.0260, diff: 0.0180
Real distance: 0.0082, model distance: 0.0370, diff: 0.0288
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0117, model distance: 0.0308, diff: 0.0191
Real distance: 0.0080, model distance: 0.0275, diff: 0.0195
Real distance: 0.0091, model distance: 0.0320, diff: 0.0229
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0104, model distance: 0.0415, diff: 0.0311
Real distance: 0.0092, model distance: 0.0303, diff: 0.0211
Real distance: 0.0084, model distance: 0.0374, diff: 0.0290
Real distance: 0.0092, model distance: 0.0405, diff: 0.0313
Real distance: 0.0115, model distance: 0.0409, diff: 0.0294
Real distance: 0.0089, model distance: 0.0326, diff: 0.0237
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0085, model distance: 0.0283, diff: 0.0197
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0094, model distance: 0.0320, diff: 0.0226
Real distance: 0.0083, model distance: 0.0365, diff: 0.0281
Real distance: 0.0075, model distance: 0.0297, diff: 0.0222
Real distance: 0.0088, model distance: 0.0504, diff: 0.0416
Real distance: 0.0091, model distance: 0.0311, diff: 0.0220
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0080, model distance: 0.0359, diff: 0.0279
Real distance: 0.0091, model distance: 0.0343, diff: 0.0253
Real distance: 0.0091, model distance: 0.0325, diff: 0.0234
Real distance: 0.0099, model distance: 0.0294, diff: 0.0195
Real distance: 0.0092, model distance: 0.0529, diff: 0.0437
Real distance: 0.0089, model distance: 0.0371, diff: 0.0282
Real distance: 0.0090, model distance: 0.0294, diff: 0.0204
Real distance: 0.0126, model distance: 0.0415, diff: 0.0288
Real distance: 0.0086, model distance: 0.0319, diff: 0.0233
Real distance: 0.0103, model distance: 0.0325, diff: 0.0221
Real distance: 0.0000, model distance: 0.0000, diff: 0.0000
Real distance: 0.0091, model distance: 0.0268, diff: 0.0177
Real distance: 0.0088, model distance: 0.0258, diff: 0.0170
Real distance: 0.0093, model distance: 0.0359, diff: 0.0266
Real distance: 0.0094, model distance: 0.0385, diff: 0.0291
Real distance: 0.0087, model distance: 0.0352, diff: 0.0266
Real distance: 0.0184, model distance: 0.0407, diff: 0.0223
